comment,label
보기 숫자 위치 킹받네,0
증거 다 있는데 저렇게 수사가 늑장이면 경찰이 문제지,0
대학보고 납득 ㅋㅋㅋ,1
전주 ㅋㅋㅋㅋ,1
"참 매정하네
차갑다",0
와우 미국인들이 트럼프 지지할 수 밖에 없었겠구나,0
아파트 이름 공개해라,0
저..전라도,0
정의의 나라 답네,0
지금 생각하면 저게 정상이지,0
경상도와 전라도를 가로지르는~,0
그래서 미국이 영국을 제치고 세계 최강대국이 된거지,0
진짜 무섭긴 하다 언젠가는 저게 전세계로 퍼진다는 거자나,0
"무단횡단 자체를 하면 안되는거지만
난 정말로 이해가 안가는게..... 무단횡단을 하게되더라도
적어도 차량이 오는 방향은 보면서 가야지..... 대부분 왜 반대쪽을 보고 가는거냐",0
정상화되는중,0
아 전라도 역시,1
댓글에서 닭장냄새 난다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
"피조개 수심 5~50m 사이의 고운 모래펄에서 사나 조간대 저조선에서도 발견된다. 조가비의 크기는 길이 약 120mm, 높이 약 90mm, 나비 약 75mm 정도로 꼬막류 중에서는 가장 크다. 조가비는 불룩하고 표면에는 42줄의 방사륵(放射肋)이 있으며 흑갈색의 각피(殼皮)로 덮여 있다. 유패(幼貝) 때는 직사각형으로 납작하며 족사(足絲)로 부착한다. 조가비 표면에 털이 많이 나있어 부안, 김제, 군산 지역에서는 ‘털조개’라고도 부른다.",0
좋은 멕시코 문화 받아들이자,1
잘한일이라고는 못하겠지만 전후사정을 알고싶긴하네요 어쩌다 저런선택을 했을지..,0
대체 경상도는 어떤곳이길래..,0
이런거보면 트럼프 잘뽑은거같네,0
도대체 왜 구속안함?,0
ㅋㅋㅋㅋㅋㅋㅋ 옛날 조상님들이 옮네 여자분들 ㅋㅋㅋ,1
극단적이긴한데 전체적인 이론은 맞네,1
한국 정부 일 잘 하네,0
저렇게 순식간에 터지고 없어지면 주변에 있던사람은 화상입나?,0
에잇 우리도 빨리 해버리자 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
우수기업이네 구매운동 해야겠네,1
살충제임?,1
전라도,0
정상화 ㅋㅋ,1
우투더 영투더 우,0
???아들이 저리 말하는걸 보고도 죽였다고??,0
전 세계에 이런 나라 없음,1
미래가 어둡가구먼,0
바퀴벌레가 눈에 띄면 이미 수백마리가 살고 있는 것…,0
저게 낭만이다,1
